Extraction attempted for 145 files.
Successfully processed: 145
Totally failed files: 0

============================================================
LOG OF MISSING REQUIRED FIELDS (FILES WERE PROCESSED)
============================================================

[RBPR-140144-2025.json] Missing/Empty: summary.Result[33].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[33].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[33].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[34].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[34].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[34].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[35].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[35].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[35].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[36].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[36].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[36].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[37].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[37].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[37].ScheduledStartDate
[RBPR-140175-2025.json] Missing/Empty: permit.FinalizeDate
[RBPR-140175-2025.json] Missing/Empty: permit.MainAddressInfo.AddressLine3
[RBPR-140175-2025.json] Missing/Empty: permit.MainAddressInfo.State
[RBPR-140175-2025.json] Missing/Empty: permit.MainAddressInfo.County
[RBPR-140175-2025.json] Missing/Empty: permit.MainAddressInfo.Country
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[0].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[1].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[2].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[3].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[4].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[5].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[6].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[7].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[8].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[9].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[10].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[11].WorkflowActionId
[RBPR-140175-2025.json] Missing/Empty: inspections.Result[12].WorkflowActionId
